Time RV eRV BIS FWHM S-index
55000 21.259 1.581 0.007249 0.106119 -4.8412
55003.06044 29.461 1.581 0.02957 0.079281 -4.8386
55022.959418 23.078 2.159 0.021658 0.107291 -4.828
55248.275241 9.498 2.256 0.015445 0.043339 -4.8767
55249.214572 23.869 2.844 0.010536 0.043662 -4.895
55250.217797 14.638 2.062 0.004995 0.022156 -4.9033
55251.210708 0.316 1.676 0.003769 0.010402 -4.9304
55252.206801 -2.998 2.256 -0.000786 0.004532 -4.9319
55253.210914 -3.145 2.648 0.009978 -0.002671 -4.9233
55262.285994 -8.373 1.676 -0.005867 -0.020153 -4.9436
55263.259111 0.746 2.159 0.002147 -0.004355 -4.9363
55264.267113 1.422 1.965 0.003235 -0.004685 -4.9233
55265.26611 -5.525 1.868 -0.002812 0.007318 -4.9206
55266.283856 1.243 1.868 -0.004631 0.016288 -4.92
55267.256748 15.905 1.772 -0.00365 0.015285 -4.9014
55268.265151 9.771 2.256 -0.000129 0.028836 -4.9074
55269.292616 7.8 1.772 0.007201 0.028716 -4.8961
55270.259533 5.284 1.772 0.020788 0.0267 -4.9077
55271.262214 10.854 2.55 0.008883 0.020595 -4.9241
55272.233109 -1.402 1.965 0.006593 0.004041 -4.9255
55272.32066 -9.153 2.55 0.003195 -0.004651 -4.9356
55273.215208 -12.455 2.159 0.002492 0.000472 -4.9276
55273.302284 -17.08 1.676 0.008504 0.000412 -4.939
55274.209158 -12.792 1.581 0.005033 -0.002462 -4.9513
55274.295771 -9.197 1.581 0.009232 0.004284 -4.9526
55275.204507 -12.4 2.062 0.003923 -0.015057 -4.9529
55275.29943 -12.462 1.676 0.007202 -0.013262 -4.9556
55276.208732 -15.836 1.868 0.007415 -0.00417 -4.9484
55276.290299 -16.022 2.062 0.006023 -0.008154 -4.9494
55277.21159 -10.242 2.55 0.000363 -0.009979 -4.9585
55277.290367 -4.444 1.965 0.003793 -0.022078 -4.9555
55278.233592 3.855 2.159 -0.00279 -0.03559 -4.9663
55278.306616 3.6 2.452 0.007068 -0.026743 -4.9659
55279.220856 2.608 1.868 -0.004595 -0.017786 -4.9678
55279.300535 4.583 2.256 -0.007705 -0.015318 -4.9626
55280.184241 -7.438 1.868 -0.002314 -0.017227 -4.949
55280.282474 -5.147 1.772 0.007805 -0.008404 -4.9586
55298.192935 7.844 1.393 -0.000466 0.023661 -4.8972
55299.195575 17.698 1.487 -0.009857 0.036973 -4.891
55300.182287 33.733 1.487 -0.01364 0.042462 -4.8715
55301.192192 19.497 1.772 0.002527 0.063844 -4.8696
55302.191517 1.176 2.062 0.015593 0.070348 -4.8833
55303.180516 -2.426 1.868 0.031584 0.058296 -4.8878
55304.175647 -2.524 6.619 0.045984 0.037365 -4.8908
55305.181356 -12.29 1.965 0.019436 0.006853 -4.9278
55306.190292 -3.096 3.041 0.010938 -0.008636 -4.9348
55307.210072 9.092 2.159 -0.001532 -0.01831 -4.9581
55320.052919 -7.695 1.581 -0.01212 -0.013903 -4.9126
55320.150012 -5.038 1.772 -0.005183 0.005543 -4.9202
55320.212939 -1.647 1.868 -0.010153 0.007752 -4.9179
55321.056831 8.73 1.581 -0.012672 0.010458 -4.8903
55321.138357 13.625 1.581 -0.018878 0.009815 -4.8976
55321.215184 13.343 1.393 -0.01757 0.014146 -4.9082
55322.050141 24.422 1.676 -0.020837 0.025674 -4.8857
55322.128009 23.927 1.487 -0.011641 0.020784 -4.8908
55322.205183 25.007 1.581 -0.018885 0.029968 -4.8773
55323.051284 19.055 1.965 -0.007441 0.045255 -4.8867
55323.120298 18.186 1.868 -0.016516 0.04826 -4.8899
55323.206476 15.669 1.676 -0.007425 0.04332 -4.8901
55324.048803 12.811 1.487 0.008498 0.049586 -4.8772
55324.122562 8.73 1.772 0.011988 0.057702 -4.8922
55324.203706 11.845 1.868 0.009273 0.057778 -4.8857
55325.0547 13.555 1.868 0.025499 0.053085 -4.9054
55325.130091 10.138 1.868 0.018758 0.045699 -4.8931
55325.197369 10.437 1.581 0.027658 0.044264 -4.8887
55326.030075 0.959 1.676 0.020583 0.036691 -4.9144
55326.15425 2.408 1.581 0.025512 0.039061 -4.893
55326.202257 -1.999 1.581 0.027412 0.037788 -4.9114
55327.036374 -11.139 1.676 0.021438 0.012384 -4.925
55327.113964 -5.959 1.772 0.020855 0.020459 -4.9113
55327.197804 -8.855 1.676 0.017458 0.009901 -4.9281
55337.086308 6.904 1.965 0.029325 0.030965 -4.9029
55338.0539 1.034 5.622 0.030054 0.010378 -4.9048
55338.172031 -8.482 2.746 0.02988 0.018451 -4.9208
55339.116337 -6.826 2.062 0.010107 -0.005887 -4.9312
55340.016499 -3.454 2.746 -0.002034 -0.00766 -4.9526
55340.12676 -4.32 2.256 0.005361 -0.014047 -4.9533
55341.047951 -9.192 2.256 -0.001739 -0.011763 -4.9388
55341.143675 -9.288 2.452 -0.004727 -0.014449 -4.9519
55342.056335 -8.267 2.844 -0.008703 -0.007553 -4.933
55342.144154 -10.495 1.676 -0.01026 -0.012384 -4.9274
55343.05738 8.604 1.772 -0.006603 -0.007767 -4.9095
55343.171864 16.016 1.676 -0.004588 -0.000173 -4.8993
55343.994098 21.645 2.159 -0.008946 0.00501 -4.9045
55345.02088 19.844 1.581 -0.011531 0.028319 -4.893
55345.10576 20.674 2.354 -0.014577 0.034161 -4.8959
55345.18344 20.627 1.772 -0.011399 0.025833 -4.8947
55345.993671 22.851 2.354 0.000293 0.062203 -4.8919
55346.106269 17.437 2.256 0.002419 0.045809 -4.8985
55346.176195 16.203 1.581 0.000505 0.049035 -4.8761
55351.992673 -8.75 2.062 -0.003138 -0.027887 -4.9532
55352.13227 -7.195 2.062 -0.001332 -0.020523 -4.9483
55353.06987 2.513 2.256 -0.005125 -0.013698 -4.925
55354.047176 20.714 2.256 -0.013517 -0.008156 -4.9112
55354.981777 28.158 1.772 -0.020551 0.004337 -4.9056
55355.112138 23.118 1.676 -0.020783 0.002525 -4.9002
55356.044134 16.37 1.676 -0.016683 0.021076 -4.8973
55356.982378 12.968 1.581 -0.005805 0.047399 -4.8839
55357.102531 11.986 1.676 -0.004138 0.052134 -4.8812
56412.155602 -20.976 2.062 0.004627 -0.040034 -4.991
56412.216362 -20.059 2.383 -0.007285 -0.040179 -4.9822
56413.031112 -9.306 2.178 -0.010422 -0.051877 -4.9889
56413.145412 -5.714 2.559 -0.0108 -0.031606 -4.9868
56413.250682 -1.869 2.756 -0.010501 -0.039692 -4.9812
56414.021022 -4.276 2.207 -0.009958 -0.031669 -4.9845
56414.124822 -0.409 2.461 -0.009551 -0.02807 -4.973
56414.226362 -1.663 1.907 0.003663 -0.033489 -4.9691
56415.017512 -5.508 2.052 -0.013545 -0.036127 -4.9812
56415.133082 -8.826 2.677 -0.010027 -0.032149 -4.9741
56415.240242 -8.18 1.743 -0.002533 -0.040171 -4.9817
56416.017022 -5.612 2.52 -0.002839 -0.040859 -4.9757
56416.121822 0.304 2.442 0.004638 -0.023454 -4.983
56416.224792 -7.106 2.052 -0.009629 -0.031274 -4.9659
56417.022832 0.349 1.839 -0.002935 -0.03878 -4.9835
56417.125232 -9.797 2.188 -0.001977 -0.04001 -4.982
56417.229822 -7.704 2.217 -0.006804 -0.034801 -4.9735
56418.017102 -12.017 1.916 0.000966 -0.028022 -4.9701
56418.123482 -16.558 2.432 -0.007063 -0.022663 -4.9644
56418.228202 -19.907 2.188 -0.002701 -0.027232 -4.9831
56419.013542 -20.013 2.266 -0.002537 -0.03804 -4.9549
56419.119232 -20.18 2.276 0.001357 -0.02638 -4.965
56419.224522 -20.03 1.83 -0.001186 -0.037292 -4.9671
56420.001432 -16.936 2.149 -0.008974 -0.036005 -4.9785
56420.117862 -9.468 2.285 -0.006889 -0.019195 -4.965
56420.218932 -6.195 1.859 -0.003255 -0.037126 -4.967
56421.013182 -11.126 1.974 -0.003781 -0.021484 -4.9764
56421.119762 -10.974 2.227 -0.008953 -0.047644 -4.9882
56421.223302 -6.99 1.705 -0.005464 -0.031621 -4.9744
56422.010232 -15.863 1.82 -0.004373 -0.026716 -4.9678
56422.111672 -14.23 2.52 0.008056 -0.014715 -4.9668
56422.214362 -13.054 1.936 0.004016 -0.022957 -4.9582
56423.018392 -8.865 2.5 -0.003522 -0.020595 -4.9744
56423.124282 -9.691 1.753 0.000353 -0.025776 -4.972
56423.224712 -13.254 1.82 -0.002306 -0.026404 -4.9754
