Time RV eRV BIS FWHM S.index
55033.973542 -4.333 0.61 -0.003547 -0.018125 -4.9894
55034.061717 -5.763 0.686 -0.002923 -0.024931 -4.9921
55034.904816 -4.009 0.686 -0.006757 -0.020807 -4.9891
55035.018007 -5.82 0.588 -0.004926 -0.027463 -4.9969
55035.082785 -2.814 0.594 -0.00592 -0.011712 -4.985
55037.025087 -2.65 0.653 -0.002508 -0.020462 -4.9837
55037.104736 -3.391 0.605 -0.006554 -0.017462 -4.9869
55037.870826 -4.4 0.594 -0.004259 -0.014102 -4.9857
55038.025688 -2.364 0.578 -0.004364 -0.017477 -4.985
55051.839292 -4.015 0.736 -0.001257 -0.021416 -4.9917
55051.867377 -4.544 0.721 -0.003834 -0.023413 -4.9989
55052.003426 -3.012 0.743 -0.00304 -0.021637 -4.9923
55052.821767 -2.774 0.743 -0.002805 -0.023825 -4.9966
55052.93943 -4.311 0.736 -0.001423 -0.028023 -5.0027
55053.010159 -2.633 0.736 -0.002638 -0.01597 -4.9901
55053.8345 -3.098 0.751 -0.002447 -0.022696 -4.9968
55053.926513 -3.878 0.729 -0.003237 -0.027155 -4.998
55054.0234 -5.042 0.721 -0.003447 -0.025401 -4.9969
55054.974127 -2.896 0.707 -0.003411 -0.025748 -4.997
55055.029413 -4.096 0.721 -0.004841 -0.027601 -4.9987
55055.81497 -4.839 0.721 -0.002447 -0.027658 -5.0003
55055.94872 -3.045 0.707 -0.00361 -0.019343 -4.9951
55056.021308 -4.576 0.729 -0.001969 -0.024764 -4.9989
55056.963809 -2.474 0.707 -0.003814 -0.021838 -4.998
55057.034515 -4.809 0.743 -0.004604 -0.023579 -4.9974
55057.8413 -2.681 0.729 -0.00264 -0.023892 -4.9966
55057.986195 -3.531 0.736 -0.001741 -0.024004 -4.9959
55058.970523 -4.812 0.721 -0.000953 -0.023855 -5.0016
55075.919972 -7.776 0.721 0.00067 -0.026559 -4.9969
55075.993785 -7.05 0.736 -0.0026 -0.020256 -4.9949
55076.822434 -7.692 0.736 -0.001268 -0.022226 -4.9982
55076.937824 -7.168 0.599 -0.003806 -0.022422 -4.9958
55077.912527 -7.872 0.578 -0.001546 -0.025366 -4.9957
55077.984395 -7.948 0.578 -0.001992 -0.020951 -4.9924
55078.910357 -6.855 0.659 -0.003051 -0.017722 -4.9916
55078.96979 -6.891 0.653 3.2e-05 -0.021303 -4.99
55079.906584 -7.669 0.647 -0.001055 -0.022861 -4.9966
55079.979505 -5.465 0.653 -0.002508 -0.020545 -4.9919
55080.90712 -6.963 0.679 -0.002697 -0.01677 -4.9914
55080.971195 -8.614 0.686 -0.002655 -0.025172 -4.9968
55081.893919 -7.421 0.679 -0.002119 -0.024514 -4.992
55081.964868 -9.255 0.673 -0.002822 -0.025704 -5
55084.85783 -8.948 0.686 -0.002404 -0.02361 -4.9961
55084.935734 -10.686 0.666 -0.00457 -0.023771 -4.9942
55085.85352 -6.054 0.7 -0.00149 -0.019508 -4.9863
