Time  RV eRV
2451634.72189      2.92   0.97
2451634.73153      4.98   1.07
2451634.74109      2.47   1.06
2451654.58788      1.20   1.13
2451654.62677     -2.15   1.39
2451654.63613      0.75   1.22
2451681.76602     -1.90   1.24
2451681.77565     -4.01   1.32
2451681.78538     -2.03   1.36
2451707.61532      0.09   1.01
2451707.62497     -0.34   0.99
2451707.63471      0.73   0.98
2451737.52220     -2.40   1.19
2451737.53193     -2.54   1.43
2451737.54149      0.29   1.55
2451740.57018      1.01   1.02
2451740.58000      1.14   1.21
2451740.58963      3.03   1.26
2451761.54208     -1.12   0.89
2451761.55173     -0.93   0.87
2451761.56164     -1.48   0.88
2451818.49052     -2.21   1.20
2451818.50033     -1.34   1.19
2451818.50980     -0.64   1.48
2451919.83423      1.87   1.04
2451919.84408     -1.84   0.97
2451919.85339     -0.46   1.00
2451946.79657     -0.81   1.09
2451946.80631      0.34   1.05
2451946.81936      0.22   0.98
2452118.50875      1.00   1.13
2452118.51800     -1.04   1.19
2452118.52799     -2.55   1.34
2452119.48868     -2.63   1.28
2452119.49893     -1.29   1.29
2452119.50801     -2.20   1.05
2452120.48830     -0.73   1.01
2452120.49792     -1.59   0.90
2452120.50755     -2.12   0.98
2452121.49339      1.67   0.96
2452121.50311      1.55   0.90
2452121.51265      0.66   0.95
2452122.49306     -0.98   0.92
2452122.50260      1.75   1.01
2452122.51222      2.61   0.94
2452123.50478      1.67   0.82
2452123.51440      1.27   0.97
2452123.52401      1.14   0.89
2452124.49806      1.64   0.90
2452124.50769      1.12   1.02
2452124.51740      0.12   1.03
2452125.49342     -0.13   0.86
2452125.50305     -0.82   0.95
2452125.51269      0.69   0.83
2452126.49772      0.24   0.90
2452126.50739      0.51   0.89
2452126.51706      0.33   0.88
2452127.49141     -0.30   0.99
2452127.50122      0.04   0.93
2452127.51084     -0.88   0.94
2452128.49829     -1.81   1.01
2452128.50794      0.30   1.00
2452128.51761     -2.86   0.98
2452129.50666     -1.54   0.97
2452129.51619     -2.14   0.92
2452129.52583     -1.20   0.96
2452130.50888     -1.81   0.95
2452130.51849     -1.38   0.97
2452130.52801     -3.53   0.89
2452131.49324     -1.17   0.91
2452131.50267     -2.23   0.93
2452131.51239     -2.21   1.02
2452134.50975      0.06   1.10
2452134.51947      1.54   1.17
2452134.52913      1.36   1.11
2452135.52639     -0.57   1.10
2452135.53604     -0.12   1.04
2452135.54570      0.37   1.20
2452308.85001     -2.57   0.90
2452308.85961     -4.70   0.94
2452308.86913     -1.83   0.88
2452320.83178      1.14   1.14
2452320.84129     -0.87   1.11
2452320.85098      1.77   1.22
2452336.82615     -1.19   0.94
