Time RV eRV Sindex Halpha PhotonCount ObservationTimes
2451755.04627 2.72 1.21 0.1856 -1 110518 14
2451755.04921 4.03 1.27 0.1863 -1 109283 16
2451756.05946 1.22 1.29 0.1799 -1 106370 12
2451757.05676 1.59 1.33 0.1726 -1 109403 11
2451757.05875 -3.46 1.22 0.18 -1 101560 10
2451792.95272 -0.87 1.42 0.1934 -1 78722 5
2451793.93293 -2.25 1.32 0.1927 -1 90225 6
2451882.7638 2.42 1.48 0.1599 -1 89633 4
2451883.79832 2.27 1.51 0.1574 -1 89809 5
2451883.79942 3.22 1.46 0.1563 -1 95088 5
2451897.94462 3.58 1.58 0.17 -1 42647 5
2451897.94566 5.59 1.28 0.1555 -1 108989 10
2451899.82582 4.68 1.21 0.1636 -1 115388 7
2451899.82691 2.5 1.27 0.1642 -1 90785 6
2451900.76957 4.7 1.41 0.1648 -1 121239 5
2451900.77073 0.05 1.38 0.1668 -1 99369 5
2452096.12824 -2.07 1.68 0.1361 -1 66861 3
2452096.12936 -3.28 1.38 0.1325 -1 81872 4
2452096.13081 -0.6 1.51 0.1423 -1 77803 3
2452097.13097 -4.18 1.54 0.1425 -1 83847 14
2452097.13218 -7.06 1.66 0.136 -1 82101 17
2452098.13161 -0.58 1.43 0.1383 -1 88963 4
2452098.13274 2.69 1.65 0.1384 -1 85581 3
2452099.10578 1.31 1.48 0.142 -1 110161 4
2452099.13215 0.37 1.39 0.1405 -1 117435 4
2452099.13327 -1.86 1.44 0.1431 -1 120734 4
2452100.1124 -2.83 1.44 0.1455 -1 103668 4
2452101.13267 3.42 1.61 0.1408 -1 113099 3
2452102.12998 -2.17 1.38 0.1314 -1 93390 9
2452102.1311 -2.42 1.48 0.1315 -1 101595 8
2452128.129 -0.55 1.41 0.1506 -1 106791 4
2452129.11191 -2.66 1.49 0.1598 -1 76519 2
2452129.11315 -7.89 1.56 0.1637 -1 106459 4
2452133.13896 -1.24 1.57 0.1549 -1 97840 3
2452134.02013 -5.7 1.61 0.1524 -1 93806 3
2452134.02125 -3.88 1.56 0.1567 -1 82529 2
2452162.92826 2.84 1.46 0.1558 -1 102305 7
2452162.92936 1.7 1.57 0.1514 -1 119029 4
2452187.99877 0.4 1.45 0.1418 -1 102431 6
2452188.9594 6.79 1.83 0.1747 -1 93471 4
2452189.89654 5.48 1.56 0.1624 -1 88990 5
2452218.94089 4.32 1.48 0.1427 -1 112112 33
2452219.96014 -2.79 1.93 0.1513 -1 121721 4
2452235.74579 0.04 1.45 0.1649 -1 102925 5
2452235.74688 4.13 1.45 0.1656 -1 129245 0
2452236.77602 4.74 1.28 0.1527 -1 135166 5
2452236.77711 1.28 1.4 0.1621 -1 108798 5
2452237.71928 2.49 1.54 0.1435 -1 109308 5
2452237.72044 3.78 1.44 0.1542 -1 115681 6
2452238.75668 4.22 1.61 0.1443 -1 110853 4
2452238.75777 10.94 1.57 0.1672 -1 100421 4
2452242.78276 2.12 1.33 0.1534 -1 114161 4
2452242.78382 -0.98 1.45 0.1455 -1 107348 5
2452307.71141 -3.62 1.58 0.1505 -1 110886 3
2452307.71258 -2.14 1.47 0.1575 -1 95855 3
2452487.09166 2.36 1.4 0.1562 -1 112105 3
2452488.10725 -2.2 1.73 0.1523 -1 92679 2
2452488.10868 3.09 1.48 0.1535 -1 101582 3
2452489.04627 -2.93 1.41 0.1585 -1 98262 3
2452514.98612 1.12 1.57 0.1513 -1 143520 4
2452516.00767 2.36 1.51 0.1662 -1 109594 6
2452516.00881 5.63 1.46 0.1569 -1 120889 7
2452535.90858 1.74 1.56 0.159 -1 122707 3
2452535.90965 2.48 1.39 0.163 -1 119504 3
2452536.99377 -3.47 1.78 0.1437 -1 112884 3
2452536.99483 0.37 1.78 0.1403 -1 98864 3
2452538.02823 -2.59 1.75 0.137 -1 120419 3
2452538.02929 2.92 1.78 0.1426 -1 113597 3
2452538.92534 -1.39 1.48 0.1534 -1 123125 3
2452538.92642 -3.63 1.66 0.1511 -1 143416 4
2452539.92566 0.37 1.57 0.1476 -1 129150 3
2452539.92673 3.29 1.55 0.1532 -1 129057 3
2452572.93754 1.85 1.41 0.1516 -1 112792 10
2452573.8386 3.91 1.53 0.1504 -1 131290 5
2452573.83971 6.41 1.57 0.1511 -1 115312 4
2452574.91475 10.47 1.52 0.1521 -1 111809 4
2452600.71925 1.7 1.46 0.1559 -1 114664 3
2452600.72037 -1.41 1.46 0.1594 -1 128960 4
2452601.87753 -0.11 1.37 0.1582 -1 124594 5
2452601.87867 5.29 1.54 0.1598 -1 102000 6
2452602.81862 5.79 1.58 0.1599 -1 123605 5
2452602.81969 0.36 1.52 0.1672 -1 114915 5
2452651.75723 2.63 1.63 0.166 -1 63497 3
2452651.75845 -1.65 1.54 0.1592 -1 129343 5
2452651.75955 1.05 1.27 0.159 -1 129216 5
2452830.12934 -0.18 1.42 0.1454 -1 141976 4
2452830.13051 -0.26 1.55 0.1517 -1 152197 4
2452832.11972 -3.25 1.6 0.153 -1 117971 5
2452832.12083 -1.37 1.6 0.1523 -1 99440 4
2452833.09512 1.87 1.65 0.1397 -1 128794 4
2452833.09623 2.64 1.71 0.135 -1 96347 3
2452834.12522 2.65 1.67 0.1524 -1 124776 4
2452834.12632 2.88 1.64 0.1462 -1 113652 3
2452835.11917 1.72 1.75 0.1509 -1 109072 2
2452835.12028 -1.17 1.67 0.154 -1 129414 3
2452836.07697 2.63 1.5 0.1284 -1 111871 9
2452836.07887 1.48 1.68 0.1435 -1 111427 7
2452849.08461 -2.06 1.54 0.1431 -1 116037 5
2452850.04004 -0.44 1.39 0.1485 -1 113696 5
2452850.04118 1.88 1.38 0.1458 -1 116827 5
2452851.13313 1.86 1.46 0.1712 -1 136692 6
2452851.1346 3.97 1.59 0.1716 -1 134341 5
2452854.13395 -2.52 1.48 0.1417 -1 101945 7
2452854.13506 -0.56 1.45 0.1406 -1 110874 5
2452855.13514 3.35 1.43 0.1457 -1 94416 5
2452855.13623 4.06 1.29 0.1454 -1 103170 7
2452856.12273 3.7 1.62 0.1484 -1 99188 7
2452856.1317 -0.1 1.46 0.1433 -1 99768 8
2452897.91817 3.41 1.35 0.1479 -1 124175 5
2452897.91926 3.71 1.45 0.1471 -1 120290 4
2452899.034 1.04 1.4 0.1361 -1 130394 4
2452924.9299 3.96 1.43 0.1545 -1 126901 6
2452924.93101 1.52 1.55 0.1387 -1 107060 5
2452926.05981 1.19 1.55 0.1497 -1 120423 6
2452926.06105 0.8 1.63 0.1493 -1 120267 5
2452987.74191 -2.78 1.61 0.1513 -1 104933 24
2452987.74321 -3.13 1.55 0.1488 -1 103414 21
2452988.75823 -1.61 1.52 0.1495 -1 126230 5
2452988.76032 -4.49 1.5 0.1458 -1 112835 6
2452989.76521 -4.85 1.48 0.1353 -1 129821 10
2452989.7799 -0.77 1.5 0.143 -1 123507 3
2453014.73765 1.89 1.67 0.1481 -1 106318 3
2453014.73883 0.52 1.68 0.1491 -1 108359 3
2453014.73991 1.51 1.68 0.1487 -1 123008 3
2453015.74166 3.59 1.52 0.1559 -1 113932 5
2453015.74274 3.1 1.51 0.1575 -1 115982 5
2453015.74385 -3.06 1.63 0.1595 -1 151061 5
2453016.7435 -0.53 1.79 0.1502 -1 41883 1
2453016.74462 4.86 1.59 0.151 -1 80897 2
2453016.74571 3.62 1.44 0.1502 -1 144974 4
2453016.74678 2.38 1.4 0.152 -1 132479 4
2453016.74787 1.81 1.38 0.1522 -1 155811 4
2453017.76021 -1.59 1.65 0.1504 -1 84905 4
2453017.76139 2.26 1.55 0.1501 -1 116462 9
2453017.76254 -1.34 1.46 0.1538 -1 127595 8
2453045.70397 -0.56 1.59 0.1422 -1 107321 8
2453180.12752 4.97 1.39 0.1527 -1 120308 4
2453181.12623 -10.35 1.94 0.1546 -1 124338 4
2453182.12184 1.9 1.6 0.1534 -1 123558 4
2453190.10623 -0.87 1.35 0.1535 -1 131659 4
2453190.10734 1.14 1.43 0.154 -1 108286 3
2453191.12328 6.26 1.39 0.1499 -1 126943 4
2453191.12441 0.5 1.51 0.1499 -1 141267 4
2453196.10753 -9.32 2.07 0.1555 -1 43370 1
2453197.12807 -7.01 1.5 0.1538 -1 104311 4
2453197.12926 -7.47 1.69 0.1495 -1 87476 4
2453197.13043 -6.01 1.49 0.1586 -1 100621 3
2453199.12914 0.48 1.55 0.1412 -1 122398 4
2453199.13024 1.71 1.43 0.1477 -1 88735 2
2453199.13133 2.3 1.38 0.1467 -1 101409 4
2453200.132 0.7 1.52 0.1477 -1 111685 3
2453200.13308 -1.68 1.44 0.1454 -1 124561 3
2453200.13418 2.49 1.57 0.1505 -1 122940 3
2453200.13524 1.73 1.72 0.147 -1 128511 3
2453207.1025 1.69 1.67 0.1508 -1 81908 2
2453207.10358 -3.23 1.53 0.1512 -1 106230 3
2453207.10465 -1.26 1.47 0.1557 -1 101297 3
2453208.07749 -1.4 1.92 0.1506 -1 44435 1
2453208.08163 -4.2 1.42 0.1487 -1 101205 3
2453208.08272 0.3 1.52 0.1492 -1 134136 4
2453238.07598 -4.79 1.33 0.1645 0.03251 67217 2
2453238.08946 -2.14 1.39 0.1618 0.03248 65623 2
2453238.0992 0.24 1.2 0.1625 0.03247 75931 3
2453239.13673 -0.89 1.34 0.1611 -1 86332 3
2453239.13878 -0.61 1.29 0.1654 -1 96766 3
2453239.14121 0.97 1.38 0.1643 -1 89148 3
2453239.96598 -3.93 1.53 0.1618 0.03261 83070 3
2453239.98213 -0.91 1.18 0.166 0.03255 94563 3
2453239.98799 -0.48 1.22 0.1659 -1 92844 3
2453241.02 -1.4 1.16 0.1704 0.03248 81910 5
2453241.03186 -0.56 1.16 0.1645 0.03243 78013 3
2453301.80189 -0.2 1.33 0.1646 0.03272 114055 4
2453301.80259 0.4 1.19 0.1616 0.03261 123066 4
2453301.80316 0.21 1.29 0.1616 0.03265 122112 5
2453301.8038 1.46 1.23 0.1646 0.03282 147076 5
2453301.8044 -0.01 1.34 0.1666 0.03267 97956 9
2453302.83546 -0.99 1.21 0.1522 -1 147627 4
2453302.83602 -0.71 1.31 0.1528 -1 142946 4
2453302.83656 -0.86 1.26 0.1551 0.03265 127502 4
2453303.8958 -0.53 1.3 0.153 0.03253 127502 7
2453303.89639 1.09 1.32 0.1515 0.03253 111507 7
2453338.75751 -1.35 1.14 0.1621 0.03257 114764 4
2453338.75892 1.72 1.06 0.1653 0.03259 132125 5
2453338.75958 0.21 1.18 0.1632 0.03259 116065 4
2453338.76032 -0.05 1.17 0.1623 0.0325 115013 5
2453339.76968 3.9 1.31 0.1633 0.03265 123649 6
2453339.77024 1.67 1.2 0.162 0.03258 99975 5
2453339.77083 0.15 1.35 0.159 0.03249 95747 6
2453368.83534 -3.92 1.14 0.1658 0.03242 114619 7
2453368.83591 -3.06 1.29 0.162 0.03249 115360 6
2453368.83649 0.72 1.29 0.1643 0.03245 100425 5
2453369.75667 3.06 1.05 0.1588 0.03256 123972 5
2453369.75724 1.91 1.18 0.1649 0.03254 126258 4
2453369.7578 1.62 1.12 0.1636 0.03251 126524 5
2453398.7391 -0.03 1.15 0.1641 0.03257 115326 4
2453398.73963 0.09 1.22 0.1638 0.03252 120138 5
2453398.74019 2.53 1.06 0.1647 0.03255 122072 4
2453399.70391 1.27 1.12 0.1585 0.03253 112528 7
2453399.70451 1.66 1.11 0.1556 0.0325 110550 7
2453399.7051 3.22 1.2 0.16 0.03245 98852 9
2453400.71557 1.76 1.29 0.1633 0.03237 100430 9
2453400.71613 -0.67 1.16 0.1645 0.03239 92151 6
2453400.71675 -2.89 1.25 0.1593 0.03243 116905 9
2453425.74665 1.31 1.12 0.1738 0.03243 91392 11
2453425.7473 -0.86 1.25 0.1732 0.03246 99231 12
2453426.70866 -1.84 1.22 0.1705 0.03241 95210 5
2453426.70927 -0.99 1.32 0.1679 0.03252 109975 6
2453426.71 -0.22 1.2 0.1758 0.03247 99409 5
2453427.70759 2.04 1.14 0.1614 0.03245 113941 5
2453427.70815 0.89 1.13 0.1578 0.03234 95239 5
2453427.70876 -0.24 1.12 0.16 -1 103415 10
2453550.12938 -0.72 1.25 0.1517 0.03246 110047 4
2453550.12994 1.89 1.19 0.1545 0.03239 111204 4
2453550.13049 1.91 1.09 0.15 0.03255 115080 4
2453550.13103 1.57 1.13 0.1561 0.03252 116726 4
2453550.13159 -0.4 1.22 0.1542 0.03242 105255 4
2453551.1329 1.59 1.24 0.1541 0.03261 123619 4
2453551.13345 1.15 1.12 0.1551 0.03248 111682 4
2453551.13402 2.16 1.24 0.1523 0.03251 123915 4
2453551.13457 2.55 1.08 0.1549 -1 125861 4
2453552.13026 1.87 1.41 0.1526 0.03243 107875 4
2453552.13143 -3.57 1.27 0.1458 0.03235 98702 3
2453552.13215 -8.49 1.31 0.1508 0.03236 93219 3
2453571.12352 -2.22 1.21 0.1576 0.03271 126357 6
2453571.12411 -0.47 1.16 0.1541 0.03269 116367 7
2453571.12473 1.88 1.2 0.1534 0.03255 104463 12
2453603.09514 -0.31 1.25 0.1584 0.03247 109816 3
2453603.09569 0.49 1.14 0.1554 0.03248 127188 4
2453603.09624 2.27 1.28 0.1587 0.0325 111780 3
2453604.0949 -3.25 1.66 0.1457 -1 132037 4
