bjd rv erv ccf.fwhm ccf.ctr ccf.bis
2457397.69135 1.6767 2.615362 5.87964 26.23604 -0.03952
2457398.7345 0.433562 2.69495 5.91831 26.57667 -0.03064
2457400.7531 -4.945638 1.612914 5.89219 26.10277 -0.03543
2457401.75401 -6.825029 1.534234 5.92302 26.25156 -0.0398
2457415.68826 -5.364261 1.384617 5.87635 26.21545 -0.04119
2457419.71219 3.28315 1.276063 5.90423 26.15202 -0.03476
2457421.73494 0.633913 1.141268 5.92005 26.17101 -0.03686
2457422.656 -2.263841 1.624067 5.88149 25.99274 -0.03671
2457426.74783 -2.715268 1.295949 5.94389 26.65255 -0.04484
2457427.6063 -2.891474 1.518594 5.89836 26.41584 -0.04051
2457430.63648 3.367796 2.386526 5.89813 26.35357 -0.04035
2457436.63758 0.716341 2.067258 5.91576 26.45887 -0.05019
2457440.6353 5.712547 1.490127 5.90318 26.23246 -0.03017
2457441.76071 8.419317 1.528217 5.9609 26.30416 -0.03635
2457444.6912 2.017669 1.566968 5.94746 26.27951 -0.04183
2457466.72946 -7.704687 1.607754 5.95124 26.39918 -0.03874
2457472.67195 -3.072878 1.307813 5.92737 26.48371 -0.03123
2457490.62229 -8.308901 1.240624 5.93061 26.23947 -0.04059
2457495.61203 -2.158806 1.928986 5.92746 26.28563 -0.04341
2457505.55239 2.70226 1.450947 5.96078 26.16951 -0.03642
2457509.59815 -0.958153 1.255308 5.97233 26.3896 -0.0474
2457529.50649 3.718661 1.55725 5.97792 26.32171 -0.03794
2457537.59721 -2.798964 2.206934 5.94728 26.38828 -0.04704
2457537.60914 -2.956256 2.349056 5.95039 26.35029 -0.0454
2457539.48636 -4.456148 1.668702 5.95936 26.34956 -0.048
2457542.51155 -1.28199 1.837009 5.98606 26.87726 -0.03484
2457550.43629 -3.554524 2.769346 5.9606 26.44934 -0.04849
2457550.44576 -5.57523 2.297422 5.96812 26.35922 -0.04375
2457553.44077 -2.573702 2.064997 5.96044 26.29186 -0.03824
2457555.54519 -1.824742 1.666595 5.99157 26.51114 -0.04188
2457588.40996 7.526125 3.172205 6.01083 27.06527 -0.03876
2457596.39709 11.025498 4.636933 5.97419 26.42933 -0.02816
2457627.3739 -5.175155 1.910134 5.90409 26.49472 -0.03102
2457646.29884 -3.154798 2.481596 5.9352 26.41872 -0.03425
2457647.33408 -8.193609 1.687167 5.95594 26.68104 -0.0333
2457760.74997 -2.29956 1.736481 5.94139 26.28443 -0.04968
2457761.7338 -3.975205 2.049779 5.94151 26.30678 -0.043
2457768.75107 4.400347 1.909721 5.9103 26.24423 -0.03454
2457779.64975 7.435675 2.299302 5.92568 26.24355 -0.03837
2457793.6139 2.692449 2.761808 5.91361 26.13964 -0.03673
2457798.605 4.874418 1.946542 5.94785 26.36317 -0.04675
2457799.65851 0.162863 1.451454 5.91866 26.3239 -0.03657
2457806.59505 2.183046 2.124708 5.91989 26.28531 -0.03822
2457815.73319 5.884009 2.484796 5.96203 26.59686 -0.04293
2457817.62102 -3.780599 1.675925 5.9215 26.50103 -0.03403
